tti,event,ue,pkt_bits,retx,sinr_db,cqi,rb_alloc,rb_perr
81,ACK,29,3217,0,13.10,10,8,0.016567
81,NACK,0,9341,1,11.99,9,28,0.039420
81,NACK,10,9036,1,12.29,9,27,0.031394
81,NACK,18,5145,1,3.34,5,36,0.976523
82,NACK,19,2439,1,9.97,8,9,0.171452
82,NACK,25,7441,1,6.47,6,39,0.773131
82,NACK,13,5449,1,9.45,8,19,0.238864
82,NACK,19,6166,1,9.97,8,22,0.171452
83,ACK,22,2959,0,12.67,9,9,0.023361
83,NACK,24,5371,1,8.64,7,23,0.374897
83,ACK,4,9359,0,13.73,10,23,0.010104
83,ACK,5,9357,0,20.73,13,15,0.000100
83,NACK,8,4369,1,7.58,7,19,0.583978
84,ACK,10,7891,0,13.16,10,20,0.015892
84,ACK,14,1645,0,28.50,15,2,0.000100
84,NACK,17,8765,1,5.74,6,46,0.859185
84,NACK,22,5046,1,11.40,9,16,0.061864
84,ACK,23,6200,0,18.20,12,12,0.000286
85,NACK,25,104,1,7.08,7,1,0.675423
85,ACK,28,1402,0,18.06,12,3,0.000319
85,ACK,29,1821,0,14.45,10,5,0.005725
85,ACK,30,6466,0,22.00,14,9,0.000100
85,ACK,14,10799,0,28.51,15,13,0.000100
85,ACK,15,1282,0,30.00,15,2,0.000100
85,ACK,23,1837,0,15.71,11,4,0.002087
85,ACK,31,8579,0,30.00,15,11,0.000100
85,NACK,6,11108,1,14.78,10,28,0.004387
85,NACK,17,1493,1,5.30,6,8,0.896613
86,ACK,23,3845,0,17.43,12,7,0.000529
86,NACK,25,7686,1,6.89,6,41,0.708924
86,NACK,2,9721,1,5.60,6,51,0.872436
87,ACK,13,4057,0,12.73,9,13,0.022306
87,ACK,20,9140,0,28.37,15,11,0.000100
87,ACK,6,10398,0,14.79,10,26,0.004362
87,ACK,7,8417,0,17.07,12,16,0.000704
87,NACK,8,6138,1,7.99,7,26,0.502737
88,ACK,10,3401,0,19.29,13,6,0.000119
88,ACK,14,3562,0,30.00,15,5,0.000100
88,ACK,21,8499,0,21.24,14,12,0.000100
88,NACK,24,3384,1,7.91,7,15,0.517064
88,ACK,31,8647,0,29.76,15,11,0.000100
88,ACK,0,5571,0,15.72,11,12,0.002072
88,ACK,13,7642,0,12.23,9,23,0.032735
88,ACK,20,9100,0,30.00,15,11,0.000100
89,ACK,21,3309,0,20.24,13,6,0.000100
89,NACK,24,3677,1,8.19,7,16,0.462323
89,ACK,26,8449,0,29.95,15,11,0.000100
89,NACK,29,2282,1,9.47,8,8,0.236428
89,ACK,30,9046,0,23.81,15,11,0.000100
89,ACK,9,8554,0,30.00,15,11,0.000100
89,ACK,14,11833,0,30.00,15,15,0.000100
89,ACK,15,1251,0,29.64,15,2,0.000100
89,ACK,16,3632,0,24.32,15,5,0.000100
90,NACK,17,1566,1,6.56,6,9,0.759872
90,NACK,19,10504,1,6.33,6,55,0.791540
90,ACK,21,7689,0,19.82,13,12,0.000100
90,ACK,30,2156,0,23.55,15,3,0.000100
91,ACK,1,1661,0,13.32,10,5,0.013980
91,ACK,6,10184,0,20.74,13,16,0.000100
91,NACK,13,5736,1,10.97,8,20,0.084807
91,NACK,19,10915,1,7.50,7,46,0.598665
91,NACK,29,3235,1,10.76,8,12,0.098976
92,ACK,1,4821,0,13.45,10,12,0.012616
92,ACK,3,6762,0,23.15,15,9,0.000100
92,ACK,6,7609,0,20.88,13,12,0.000100
92,ACK,14,10454,0,27.19,15,13,0.000100
92,ACK,16,2184,0,21.60,14,3,0.000100
93,NACK,17,1716,1,6.44,6,9,0.776991
93,NACK,18,8926,1,7.35,7,38,0.626454
93,NACK,22,9160,1,6.32,6,48,0.792581
94,NACK,4,6402,1,11.11,9,20,0.076671
94,ACK,10,2866,0,10.53,8,10,0.116420
94,ACK,12,2579,0,22.79,14,4,0.000100
94,ACK,0,10414,0,17.57,12,19,0.000473
94,NACK,2,2674,1,5.46,6,14,0.884058
94,ACK,3,2899,0,21.02,14,4,0.000100
94,NACK,8,1402,1,7.22,7,6,0.650813
94,ACK,9,10186,0,30.00,15,13,0.000100
95,ACK,28,4398,0,18.06,12,8,0.000319
95,ACK,30,817,0,22.60,14,2,0.000100
95,ACK,0,9911,0,18.83,12,18,0.000172
95,NACK,22,4050,1,6.72,6,22,0.736412
95,ACK,28,4027,0,18.06,12,8,0.000319
95,ACK,29,7406,0,12.55,9,23,0.025579
95,NACK,2,1414,1,6.75,6,8,0.731015
95,ACK,12,8503,0,24.82,15,11,0.000100
96,ACK,16,6055,0,22.51,14,9,0.000100
